country_id,country_name,post_ussr,industry,service,agro,hh_cons,gov_exp,invest,net_export,empl_ind,empl_serv,empl_agro,gdp_growth_ave,infl_ave,unempl_ave,empl_ave,fisc_bal_ave,gov_debt_ave,cur_bal_ave,gdp_perc_ppp,gini,povert,electro,elecdem,parpipdem,delibdem,frefair,jucon,legcon,cspart,locelec,eltrnout,clrelig,clstown,svstterr,mediacens,womempow,freeexp,male,nat_pop_increase,migration,rural,life_expect,med_age,death_rate,birth_rate,fertility,education,atheist,rus_lang,main_relig,arm_exp,arm_imp,mil_expend
96,Japan,0,0.290720136,0.69313567,0.012393683,0.552439225,0.200474136,0.245138331,0.001710316,0.242199993,0.724000015,0.033800001,0.009206022,0.004801694,0.0259,0.788766667,-0.061396667,2.45538,0.034823333,42197.25481,0.329,0.157,1,0.822,0.535,0.734,0.936,0.815,0.893,0.724,0.994,0,2.762,2.69,99.091,1.252,0.778,0.878,0.48825723,0.843563415,0.016147751,0.43689,48.358,48.358,11.1,7,1.36,0.656,0.6,0,0,6,3048,0.020718093
97,Jordan,0,0.239135291,0.615878985,0.052022248,0.835290124,0.17257386,0.118848992,-0.179313437,0.244500008,0.730899963,0.0247,0.007793912,0.018523732,0.172133333,0.417433333,-0.065386667,0.832775,-0.057003333,10355.63132,0.337,0.157,1,0.268,0.126,0.224,0.497,0.674,0.662,0.664,0.196,0.299,-0.132,1.379,99,-0.808,0.658,0.503,0.506312665,0.74526,0.409771116,0.08218,23.771,23.771,3.889,21.477,2.691,0.807258377,0.009,0,6,218,1231,0.148390018
98,Kazakhstan,1,0.331220878,0.557537471,0.053223086,0.522788565,0.091321616,0.276275757,0.080193576,0.209799995,0.641600037,0.148599997,0.042333333,0.060045365,0.052333333,0.7651,-0.040473333,0.236535,-0.025346667,26728.54392,0.278,0.043,1,0.24,0.077,0.126,0.281,0.206,0.178,0.417,0.017,0.7754,-0.207,-0.259,98.5,-1.338,0.793,0.348,0.485332119,0.7318,0.201233051,0.08582,30.682,30.682,7.19,21.73,2.9,0.994586716,0.04,1,6,0,1352,0.045623748
99,Kenya,0,0.161761695,0.421900682,0.351507378,0.824959776,0.130528728,0.156662051,-0.088958944,0.062199998,0.394399986,0.543400002,0.054966321,0.051101648,0.0274,0.7481,-0.078206667,0.65414,-0.05449,4452.206024,0.408,0.361,0.697,0.461,0.303,0.399,0.363,0.697,0.875,0.765,0.816,0,2.656,1.354,91,1.053,0.747,0.821,0.496891967,0.66699,0.023547229,0.42329,20.119,20.119,5.393,28.298,3.423,0.290737495,0.023,0,2,0,126,0.044040396
102,"Korea, Rep.",0,0.328011977,0.570188442,0.017580685,0.4854873,0.171593879,0.316421722,0.037164744,0.245799999,0.702799988,0.051399999,0.027021292,0.00798689,0.0388,0.6894,0.000436667,0.45463,0.042916667,43124.29469,0.314,0.167,1,0.859,0.594,0.787,0.959,0.902,0.955,0.866,0.99,0.6621,3.201,0.923,100,2.738,0.859,0.926,0.500609772,0.832268293,0.026391594,0.37619,43.734,43.734,5.7,5.9,0.918,0.857208405,0.466,0,0,3798,6007,0.108722156
104,Kuwait,0,0.583801906,0.547228624,0.003845798,0.413560046,0.252217614,0.250183128,0.084039213,0.221499996,0.760699997,0.0178,-0.010128376,0.012689381,0.038466667,0.7477,0.013623333,0.1162,0.10457,51962.0477,0.89,,1,0.317,0.1,0.275,0.771,0.758,0.798,0.548,,0.6,0.26,-0.208,99.75,0.17,0.476,0.54,0.612201717,0.75489,0.736395507,0.18586,36.781,36.781,2.802,13.251,2.077,0.559323883,0.009,0,6,0,488,0.100258775
105,Kyrgyz Republic,1,0.294568263,0.496260432,0.135067841,0.763609333,0.163952443,0.290087567,-0.203280384,0.253600006,0.553300018,0.193199997,0.043661577,0.03000569,0.071333333,0.628133333,-0.02494,0.64204,-0.10053,4965.031876,0.297,0.201,0.99881752,0.399,0.235,0.241,0.307,0.475,0.672,0.553,0.671,0.562,1.374,0.854,93.679,0.451,0.77,0.697,0.494662097,0.716,0.034407964,0.63,26.034,26.034,5.2,26.9,3.3,0.957,0.009,1,6,10,38,0.044805404
107,Latvia,1,0.191768672,0.639811292,0.037751512,0.594728243,0.189802925,0.226027889,0.011595553,0.237199993,0.689899979,0.0729,0.008092468,0.018549761,0.073033333,0.777066667,-0.016793333,0.412255,0.00672,32019.22234,0.351,0.229,1,0.821,0.598,0.681,0.89,0.967,0.816,0.862,0.963,0.5458,2.753,1.565,96.8,2.677,0.955,0.963,0.460892312,0.752390244,0.133532403,0.6371,43.941,43.941,14.5,9.8,1.61,0.992386398,0.453,0,2,0,101,0.051923678
108,Lebanon,0,0.072413015,0.863607463,0.025043584,0.909656961,0.15885884,0.100057769,-0.17942491,0.235900002,0.650999985,0.113199997,-0.025919017,0.313155705,0.0625,0.5066,-0.105583333,1.643405,-0.230076667,12288.75852,0.318,0.274,1,0.458,0.265,0.342,0.414,0.404,0.596,0.76,0.735,0.497,1.64,0.588,72.5,0.473,0.563,0.691,0.503373408,0.7893,0.341456803,0.31685,29.563,29.563,4.457,17.377,2.075,0.543,0.009,0,6,0,243,0.108374759
110,Liberia,0,0.116697675,0.496923305,0.425973614,1.122634223,0.196819814,0.199720634,-0.659330095,0.101499996,0.472299995,0.426199989,0.004709774,0.14939132,0.030433333,0.772833333,-0.041683333,0.585715,-0.19979,1428.1893,0.353,0.509,0.2764921,0.628,0.346,0.418,0.596,0.762,0.666,0.899,0.433,0,1.347,0.86,86.833,0.578,0.834,0.88,0.502708852,0.64104,0.02526492,0.70972,19.411,19.411,7.381,32.687,4.247,0.091,0.014,0,2,0,0,0.017194924
113,Lithuania,1,0.248569988,0.615487223,0.03288218,0.605317612,0.167957342,0.12107228,0.096521202,0.257000008,0.678600006,0.064400001,0.024679338,0.020774439,0.069466667,0.772966667,-0.023883333,0.414455,0.038526667,38734.72932,0.357,0.206,1,0.821,0.627,0.695,0.919,0.966,0.956,0.824,0.978,0.478,2.26,1.635,100,2.297,0.93,0.905,0.462840674,0.761341463,0.047260896,0.85584,45.051,45.051,13.7,9.8,1.61,0.966112671,0.098,0,2,60,317,0.053472873
114,Luxembourg,0,0.107175544,0.800839342,0.002162088,0.294891428,0.17095221,0.156279387,0.387242615,0.108100004,0.885100021,0.0068,0.013648702,0.013638244,0.0605,0.7081,0.00575,0.237685,0.04574,118359.5262,0.354,0.175,1,0.869,0.595,0.824,0.953,0.87,0.923,0.951,0.73,0.8966,2.262,1.758,100,2.992,0.854,0.953,0.505749422,0.824463415,0.439641339,0.31954,39.729,39.729,6.9,10,1.34,0.779,0.267,0,2,0,86,0.013890014
116,Madagascar,0,0.133207252,0.570414799,0.241158137,0.700542935,0.14173489,0.218301797,-0.070877498,0.087299995,0.271499996,0.641200027,0.038444387,0.061355124,0.0176,0.872633333,-0.022963333,0.40682,-0.02689,1593.071266,0.426,0.707,0.269071846,0.487,0.283,0.281,0.424,0.274,0.442,0.642,0.711,0.4,1.534,0.845,78,1.156,0.771,0.698,0.498884458,0.67041,0.001323478,0.61,19.568,19.568,5.933,32.408,4.026,0.285201206,0.073,0,2,0,6,0.035789635
118,Malaysia,0,0.35907289,0.5478482,0.082060794,0.598215764,0.116948455,0.196779622,0.064407617,0.270100002,0.627200012,0.102799997,0.049618218,0.001362996,0.0372,0.683933333,-0.03307,0.62331,0.02796,27886.86089,0.411,0.056,1,0.4,0.247,0.301,0.431,0.718,0.385,0.707,,0.8232,0.062,-0.512,97.143,0.113,0.828,0.541,0.51383594,0.76156,0.082893489,0.82573,30.262,30.262,5.17,16.608,1.983,0.76777977,0.009,0,6,0,684,0.042408709
120,Mali,0,0.212445098,0.344117238,0.360971406,0.739666312,0.157416845,0.143046186,-0.070446215,0.075599999,0.3,0.624399986,0.04939267,-0.003068772,0.0735,0.7146,-0.039743333,0.42321,-0.0393,2338.507523,0.33,0.421,0.480212479,0.465,0.286,0.392,0.365,0.722,0.416,0.818,0.705,0.3558,0.608,1.199,80,0.914,0.713,0.823,0.500975614,0.59306,0.020633597,0.59331,16.347,16.347,9.412,41.035,5.785,0.115809002,0.009,0,6,0,123,0.127102862
121,Malta,0,0.134389112,0.761437624,0.006473896,0.456728692,0.172703861,0.234198846,0.096141361,0.189200001,0.800699997,0.0102,0.062794055,0.011461429,0.037166667,0.7294,-0.021893333,0.487095,0.031913333,42640.1161,0.287,0.171,1,0.772,0.56,0.62,0.891,0.822,0.602,0.828,0.866,0,2.272,0.652,100,1.481,0.867,0.8,0.501473256,0.826,0.098984881,0.56091,42.596,42.596,7.3,8.6,1.1,0.852380524,0.025,0,2,0,14,0.012087165
